ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Firsocostat (GS-0976),ACC,0.1188,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1183,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,BI-1467335,AOC3/VAP-1,0.1176,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,VK2809,THR-beta,0.1176,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,VK2809,THR-beta,0.1171,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,VK2809,THR-beta,0.1171,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Denifanstat (TVB-2640),FASN,0.117,PPARG,0.2467,活性,低毒性,PPARG,5468
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,VK2809,THR-beta,0.117,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,BI-1467335,AOC3/VAP-1,0.1163,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,BI-1467335,AOC3/VAP-1,0.1163,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Denifanstat (TVB-2640),FASN,0.1154,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Denifanstat (TVB-2640),FASN,0.1154,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Cilofexor (GS-9674),FXR,0.115,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Resmetirom,THR-beta,0.1149,PPARG,0.3794,活性,低毒性,ACACA,47;31
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,BI-1467335,AOC3/VAP-1,0.1149,RXRB,0.354,活性,低毒性,NR1H4,9971
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Resmetirom,THR-beta,0.1149,RXRA,0.2966,活性,低毒性,PPARG,5468
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Aramchol,SCD1,0.1146,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Denifanstat (TVB-2640),FASN,0.1146,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Denifanstat (TVB-2640),FASN,0.1143,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,BI-1467335,AOC3/VAP-1,0.1139,PPARG,0.4219,活性,低毒性,FASN,2194
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,BI-1467335,AOC3/VAP-1,0.1139,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,BI-1467335,AOC3/VAP-1,0.1136,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,BI-1467335,AOC3/VAP-1,0.1136,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Denifanstat (TVB-2640),FASN,0.1134,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Firsocostat (GS-0976),ACC,0.1132,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Cilofexor (GS-9674),FXR,0.1132,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,VK2809,THR-beta,0.1132,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Denifanstat (TVB-2640),FASN,0.1122,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1102,PPARG,0.4209,活性,毒性,ACACA,31;32
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Cilofexor (GS-9674),FXR,0.11,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.11,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1099,PPARG,0.2467,活性,低毒性,PPARG,5468
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Firsocostat (GS-0976),ACC,0.1092,THRB,0.3413,活性,低毒性,NR1H4,9971
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,BI-1467335,AOC3/VAP-1,0.1084,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,VK2809,THR-beta,0.1081,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Firsocostat (GS-0976),ACC,0.1071,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Obeticholic acid (OCA),FXR,0.1071,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1064,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Firsocostat (GS-0976),ACC,0.1062,GPAM,0.4006,活性,低毒性,PPARG,5468
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Firsocostat (GS-0976),ACC,0.1062,PPARG,0.4219,活性,低毒性,FASN,2194
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Firsocostat (GS-0976),ACC,0.1062,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,BI-1467335,AOC3/VAP-1,0.1053,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1047,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Cilofexor (GS-9674),FXR,0.1042,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Denifanstat (TVB-2640),FASN,0.1034,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Aramchol,SCD1,0.1031,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,VK2809,THR-beta,0.1028,PPARG,0.3604,活性,低毒性,PPARD,5467
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Cilofexor (GS-9674),FXR,0.1026,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1023,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,BI-1467335,AOC3/VAP-1,0.1014,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Obeticholic acid (OCA),FXR,0.1011,PPARG,0.4219,活性,低毒性,FASN,2194
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Obeticholic acid (OCA),FXR,0.1011,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Obeticholic acid (OCA),FXR,0.1011,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,VK2809,THR-beta,0.101,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,VK2809,THR-beta,0.1,THRB,0.3413,活性,低毒性,NR1H4,9971
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Resmetirom,THR-beta,0.1,RXRB,0.354,活性,低毒性,NR1H4,9971
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Firsocostat (GS-0976),ACC,0.0992,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,VK2809,THR-beta,0.0991,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,VK2809,THR-beta,0.0991,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Cilofexor (GS-9674),FXR,0.0991,PPARG,0.3604,活性,低毒性,PPARD,5467
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Resmetirom,THR-beta,0.0989,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Denifanstat (TVB-2640),FASN,0.098,PPARG,0.3604,活性,低毒性,PPARD,5467
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Denifanstat (TVB-2640),FASN,0.0978,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Resmetirom,THR-beta,0.0978,GPAM,0.4006,活性,低毒性,PPARG,5468
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,VK2809,THR-beta,0.0971,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Cilofexor (GS-9674),FXR,0.0965,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],VK2809,THR-beta,0.0965,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Cilofexor (GS-9674),FXR,0.0962,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T2A2481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,Cilofexor (GS-9674),FXR,0.0957,PPARG,0.4729,活性,低毒性,NR1H4,6555;8647;27413;24777;80900;50572;83569;9971;151306
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Denifanstat (TVB-2640),FASN,0.0957,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Resmetirom,THR-beta,0.0952,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T5770,[H][C@@]12[C@@H](O)CC3=C([C@H](C)C[C@H](O)[C@@]4([H])OC4(C)C)CC[C@]3(C)[C@@]1(C)CC[C@@]1([H])C(C)(C)C(=O)CC[C@]21C,Denifanstat (TVB-2640),FASN,0.0952,THRB,0.3413,活性,低毒性,NR1H4,9971
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Denifanstat (TVB-2640),FASN,0.0947,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.0947,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Denifanstat (TVB-2640),FASN,0.0947,RXRA,0.2966,活性,低毒性,PPARG,5468
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Obeticholic acid (OCA),FXR,0.0928,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Obeticholic acid (OCA),FXR,0.0928,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Denifanstat (TVB-2640),FASN,0.0926,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Denifanstat (TVB-2640),FASN,0.0926,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,VK2809,THR-beta,0.0926,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Resmetirom,THR-beta,0.0909,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Aramchol,SCD1,0.0909,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Firsocostat (GS-0976),ACC,0.0902,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],VK2809,THR-beta,0.0901,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,Resmetirom,THR-beta,0.09,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Resmetirom,THR-beta,0.0899,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Cilofexor (GS-9674),FXR,0.0893,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
TQ0252,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCO)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,VK2809,THR-beta,0.0891,NR1H3,0.4551,活性,低毒性,NR1H4,9971;151306
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Resmetirom,THR-beta,0.0889,PPARG,0.2467,活性,低毒性,PPARG,5468
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Obeticholic acid (OCA),FXR,0.0889,GPAM,0.4006,活性,低毒性,PPARG,5468
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Aramchol,SCD1,0.0874,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Aramchol,SCD1,0.0874,GPAM,0.4006,活性,低毒性,PPARG,5468
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Aramchol,SCD1,0.0874,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.087,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Obeticholic acid (OCA),FXR,0.087,PPARG,0.4209,活性,毒性,ACACA,31;32
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Firsocostat (GS-0976),ACC,0.0865,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Cilofexor (GS-9674),FXR,0.0862,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Obeticholic acid (OCA),FXR,0.086,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T70348,[H][C@@]12C[C@H](c3ccccc3C(F)(F)F)C[C@]1([H])CN(c1nc(C)cc(C(=O)O)n1)C2,Resmetirom,THR-beta,0.086,GPAM,0.1987,活性,低毒性,PPARG,5950;5468
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Aramchol,SCD1,0.0859,PPARG,0.4209,活性,毒性,ACACA,31;32
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,Resmetirom,THR-beta,0.0854,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Denifanstat (TVB-2640),FASN,0.0849,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Resmetirom,THR-beta,0.0847,PPARG,0.4209,活性,毒性,ACACA,31;32
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Denifanstat (TVB-2640),FASN,0.0842,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T4588,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCC(=O)O)[C@]1([H])[C@H](O)C2,Firsocostat (GS-0976),ACC,0.084,PPARG,0.2308,活性,低毒性,NR1H4,6555;8647;80900;9971;151306
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Denifanstat (TVB-2640),FASN,0.0833,PPARG,0.3794,活性,低毒性,ACACA,47;31
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Resmetirom,THR-beta,0.0833,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Obeticholic acid (OCA),FXR,0.0825,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T11428,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCC(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Firsocostat (GS-0976),ACC,0.082,PPARG,0.2395,高活性,低毒性,NR1H4,9971;227289;151306
T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],Denifanstat (TVB-2640),FASN,0.0818,PPARG,0.542,高活性,低毒性,NR1H4,9971;227289;151306
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,Cilofexor (GS-9674),FXR,0.0816,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
